timestamp,src_ip,username,password,command,session,eventid,attack_type,session_duration,command_count,failed_logins,common_commands
2025-10-31T08:28:15.380274+00:00,171.79.179.93,guest,toor,mkdir phoenix,7f4d7e914b,2dc6a,Brute Force,104,2.0,6.0,other
2025-10-31T08:28:59.380274+00:00,171.79.1.88,,,cd /tmp,344a12d1cc,6d3d9,Command Injection,265,29.0,0.0,echo
2025-10-31T08:29:35.380274+00:00,171.79.254.170,test,password,mkdir phoenix,9076c4de37,68b93,Command Injection,160,9.0,0.0,ifconfig
2025-10-31T08:29:27.380274+00:00,171.79.72.167,root,pass,uname -a,65d5a10a35,d6221,Brute Force,115,3.0,7.0,other
2025-10-31T08:30:20.380274+00:00,171.79.252.8,oracle,,ifconfig,c4c02703fe,4b425,Command Injection,289,26.0,0.0,ifconfig
2025-10-31T08:30:24.380274+00:00,171.79.217.44,,,,e7f5f82d0f,8f867,Command Injection,281,29.0,1.0,exit
2025-10-31T08:30:57.380274+00:00,171.79.207.237,guest,password,uname -a,8949dcc80f,746e0,Command Injection,38,28.0,0.0,cat
2025-10-31T08:31:14.380274+00:00,171.79.215.63,,,,36a38f1a3,37fc0,Brute Force,110,1.0,9.0,other
2025-10-31T08:32:04.380274+00:00,171.79.134.201,,,exit,c899792e3e,b69c4,Brute Force,108,2.0,3.0,other
2025-10-31T08:32:07.380274+00:00,171.79.226.101,,,,34405981f7,f382d,Command Injection,236,19.0,1.0,other
2025-10-31T08:33:36.380274+00:00,171.79.204.179,ftp,,touch password.txt,646deb39e5,32436,Brute Force,19,2.0,4.0,other
2025-10-31T08:33:19.380274+00:00,171.79.159.71,oracle,pass,,fa2dea63e,84658,Command Injection,313,16.0,1.0,cat
2025-10-31T08:34:06.380274+00:00,171.79.189.75,ftp,pass,ls,a75819f579,8765d,Command Injection,262,7.0,0.0,touch
2025-10-31T08:34:14.380274+00:00,171.79.154.137,root,root,ifconfig,287cf51f3b,ef415,Command Injection,262,24.0,0.0,touch
2025-10-31T08:35:25.380274+00:00,171.79.185.52,ftp,1234,,90665b4e71,d7257,Command Injection,142,6.0,1.0,cat
2025-10-31T08:36:00.380274+00:00,171.79.86.229,root,root,,b5435cc6ac,37179,Other,160,6.0,2.0,other
2025-10-31T08:35:47.380274+00:00,171.79.183.123,oracle,password,cat password.txt,f00c695bd6,a0e2a,Brute Force,20,0.0,9.0,other
2025-10-31T08:37:06.380274+00:00,171.79.186.70,,,,20afc4dbbb,33e43,Command Injection,176,24.0,1.0,ifconfig
2025-10-31T08:37:28.380274+00:00,171.79.232.161,ftp,1234,,a070b1fdc,8a658,Command Injection,180,14.0,0.0,ifconfig
2025-10-31T08:38:06.380274+00:00,171.79.143.90,,,ls,a0802a7b81,71bcf,Other,197,4.0,2.0,other
2025-10-31T08:38:31.380274+00:00,171.79.8.233,user,pass,,5ec784e6a1,db637,Brute Force,117,3.0,6.0,other
2025-10-31T08:38:46.380274+00:00,171.79.83.227,root,root,,f0b92ab780,dda0d,Command Injection,339,7.0,1.0,mkdir
2025-10-31T08:39:17.380274+00:00,171.79.227.161,oracle,toor,ifconfig,e57801f588,83b26,Brute Force,37,3.0,3.0,other
2025-10-31T08:39:28.380274+00:00,171.79.118.22,oracle,2233,echo 'hi',6170824d1b,5feba,Brute Force,34,0.0,1.0,other
2025-10-31T08:39:41.380274+00:00,171.79.251.61,test,root,,99e0072011,c634b,Other,46,4.0,1.0,other
2025-10-31T08:40:41.380274+00:00,171.79.123.233,,,cd /tmp,1c25f702bc,b6b13,Command Injection,190,7.0,1.0,other
2025-10-31T08:41:01.380274+00:00,171.79.233.223,,,,6caae8f18,d3911,Brute Force,90,1.0,2.0,other
2025-10-31T08:41:32.380274+00:00,171.79.16.104,,,,79cb059c27,a5c7c,Command Injection,55,7.0,1.0,ls
2025-10-31T08:42:00.380274+00:00,171.79.12.60,root,pass,,4094192f08,5a09f,Command Injection,171,16.0,0.0,ifconfig
2025-10-31T08:42:21.380274+00:00,171.79.91.98,ftp,3344,uname -a,cebaac23f,b735d,Command Injection,343,26.0,0.0,cat
